,Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
7,AVGO,Semiconductors,Technology,2841186,2329380,361693642752
977,NVDA,Semiconductors,Technology,47680777,44952090,1047601152000
37,PANW,Software—Infrastructure,Technology,5480726,4872350,77882916864
58,MRVL,Semiconductors,Technology,15081650,11685660,52760997888
912,MSI,Communication Equipment,Technology,844167,1038020,49100828672
52,WDAY,Software—Application,Technology,2081768,1855550,58617987072
707,IBM,Information Technology Services,Technology,4505785,4728270,121378373632
998,ORCL,Software—Infrastructure,Technology,10226959,11820850,317975560192
665,HPQ,Computer Hardware,Technology,7470731,8058300,30318145536
57,NXPI,Semiconductors,Technology,2218181,1782550,53800570880
999,ORAN,Telecom Services,Communication Services,422224,453010,30983057408
14,NFLX,Entertainment,Communication Services,6831285,5734270,196238180352
83,GFS,Semiconductors,Technology,1423111,1210320,35743985664
712,SNOW,Software—Application,Technology,6351037,7152390,57681043456
72,ON,Semiconductors,Technology,6769057,5139280,41818263552
11,ADBE,Software—Infrastructure,Technology,3774995,3422420,222565826560
1161,ROP,Software—Application,Technology,502504,477730,50885955584
100,MDB,Software—Infrastructure,Technology,1933419,2084880,29038600192
4,NVDA,Semiconductors,Technology,47680777,44952090,1047601152000
47,CDNS,Software—Application,Technology,1950922,2354760,64189812736
35,LRCX,Semiconductor Equipment & Materials,Technology,1336162,1110420,87453999104
105,MPWR,Semiconductors,Technology,599657,419670,25730297856
2,GOOGL,Internet Content & Information,Communication Services,33547881,28691700,1526830596096
71,TEAM,Software—Application,Technology,2041086,1420910,43071803392
0,AAPL,Consumer Electronics,Technology,56888032,51655080,3027145850880
59,BIDU,Internet Content & Information,Communication Services,2588900,2032750,50279591936
111,TTWO,Electronic Gaming & Multimedia,Communication Services,1729013,1600830,25015711744
1403,VZ,Telecom Services,Communication Services,19621329,16275660,156724740096
24,AMAT,Semiconductor Equipment & Materials,Technology,5825744,5311220,122157998080
191,BCE,Telecom Services,Communication Services,1236670,1030470,41970466816
8,ASML,Semiconductor Equipment & Materials,Technology,968265,819530,291939680256
1171,CRM,Software—Application,Technology,6514618,6298580,206147092480
51,FTNT,Software—Infrastructure,Technology,5071549,5630420,58622738432
90,CTSH,Information Technology Services,Technology,3614470,3857880,33270190080
147,T,Telecom Services,Communication Services,39275572,31609420,115241885696
55,CHTR,Telecom Services,Communication Services,1076793,1211580,55441719296
15,AMD,Semiconductors,Technology,67860159,62499960,186511900672
1428,DIS,Entertainment,Communication Services,12592500,12675750,165370642432
1195,NOW,Software—Application,Technology,1588306,1014290,114679136256
519,FIS,Information Technology Services,Technology,5080962,5153850,34361344000
1455,WIT,Information Technology Services,Technology,1912542,1708620,26334605312
44,KLAC,Semiconductor Equipment & Materials,Technology,1019481,740980,66516824064
97,AMX,Telecom Services,Communication Services,1118254,961110,70564626432
1100,TLK,Telecom Services,Communication Services,175954,137900,26298810368
69,ADSK,Software—Application,Technology,1438731,1492700,43535986688
560,FI,Information Technology Services,Technology,3687267,2557660,77750198272
1291,TU,Telecom Services,Communication Services,1385783,1455240,28467425280
579,IT,Information Technology Services,Technology,546909,472810,27440351232
106,VOD,Telecom Services,Communication Services,5706439,5371930,25671579648
96,DDOG,Software—Application,Technology,4924927,3426510,31637094400
5,TSLA,Auto Manufacturers,Consumer Cyclical,138546314,158883480,886889512960
6,META,Internet Content & Information,Communication Services,22693681,22057340,732991979520
